,file,Name,Parties,First Party,Second Party,Agreement Date,Effective Date,Expiration Date,Notice Period,Anti-Assignment,Amount,Condition for termination of contract,Limit the ability of a party to transfer the license being granted to a third party,File,first_party_location,second_party_location
267,MSCIINC_02_28_2008-EX-10.10-.docx,Intellectual Property Agreement,"['Morgan Stanley & Co. Incorporated', 'MSCI Inc.']",Morgan Stanley & Co. Incorporated,MSCI Inc.,"November 20, 2007","November 20, 2007",perpetual,,Yes,royalty-free,The contract does not specify conditions for termination as it grants perpetual licenses.,Yes,MSCIINC_02_28_2008-EX-10.10-.docx,Delaware,Delaware
268,"Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement.docx",Agreement,"['Magenta Therapeutics, Inc.', 'Bachem Americas, Inc.']","Magenta Therapeutics, Inc.","Bachem Americas, Inc.","February 13, 2018","February 13, 2018",,[***],Yes,[***],This Agreement or any Project Plan may be terminated by Magenta for any reason upon [***] written notice to Bachem.,Yes,"Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement.docx",MA,CA
269,MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.docx,CONTENT LICENSE AGREEMENT,"['Digicorp, Inc.', 'New China Media LLC', 'YGP, LLC', 'TWK Holdings, LLC']","Digicorp, Inc.",New China Media LLC,"June 2, 2008","June 2, 2008",,ninety (90) days,Yes,"$31,200.00","This Agreement may be terminated by either party upon thirty (30) days written notice to the other in the event of a breach of a material provision hereof unless, during that thirty (30) day period, the party receiving the notice cures the breach.",Yes,MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.docx,California,Florida
270,"MJBIOTECH,INC_12_06_2018-EX-99.01-JOINT VENTURE AGREEMENT.docx",JOINT VENTURE AGREEMENT,"['MJ Syndicated, Inc.', 'SIMPLY HERBALS, Nervanah Herbal Medicine Company']","MJ Syndicated, Inc.","SIMPLY HERBALS, Nervanah Herbal Medicine Company","November 27th, 2018","November 27, 2018","November 30th, 2019",Thirty (30) business days,Yes,,The Joint Venture may be dissolved only with the unanimous consent of all Participants.,Yes,"MJBIOTECH,INC_12_06_2018-EX-99.01-JOINT VENTURE AGREEMENT.docx",Florida,TN
271,MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT.docx,ENDORSEMENT AGREEMENT,"['MOSSIMO, INC.', 'DAVID DUVAL ENTERPRISES, INC.']","MOSSIMO, INC.","DAVID DUVAL ENTERPRISES, INC.","January 1, 2000","January 1, 2000","December 31, 2003",thirty (30) days,Yes,"$850,000","The contract can be terminated due to failure to make payments, breach of contract terms, bankruptcy or insolvency of the company, substantial reduction in the commercial value of Duval Identification due to illegal or immoral conduct, or failure of a drug test or conviction of a drug related offense.",Yes,MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT.docx,California,Ohio
272,KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT.docx,AGREEMENT,"['DEPOMED, INC.', 'KING PHARMACEUTICALS, INC.']",Depomed,King,"June 27, 2006","June 27, 2006","June 27, 2011",120 days,Yes,,"Either party may terminate this Agreement, effective at any time after providing sixty days written notice and an opportunity to cure during such sixty day period (ninety days in the case of a breach by Depomed of Section 6.1), in the event of a material failure of the other party to comply with its material obligations contained in this Agreement.",Yes,KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT.docx,California,Tennessee
273,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT.docx,JOINT FILING AGREEMENT,"['Shelby J. Butterfield', 'BUTTERFIELD FAMILY TRUST']",Shelby J. Butterfield,BUTTERFIELD FAMILY TRUST,"March 27, 2020",,,,,,The contract does not specify conditions for termination.,,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT.docx,Null,Null
274,"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT.docx",COLLABORATION AGREEMENT,"['THERAVANCE, INC.', 'GLAXO GROUP LIMITED']","THERAVANCE, INC.",GLAXO GROUP LIMITED,"November 14, 2002",Not Provided - Requires external information,Not Provided - Requires external information,90 days,Yes,Not Provided - Requires external information,Either party may terminate the agreement if the other party materially breaches or defaults in the performance of any of its obligations.,Yes,"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT.docx",California,United Kingdom
275,MPLXLP_06_17_2015-EX-10.1-TRANSPORTATION SERVICES AGREEMENT.docx,Agreement,"['Marathon Petroleum Company LP', 'Marathon Pipe Line LLC']",Marathon Petroleum Company LP,Marathon Pipe Line LLC,"June 11, 2015","June 11, 2015",,six (6) months,Yes,,The agreement may be terminated by either party upon written notice to the other party if the other party materially breaches any provision of the agreement and such breach is not cured within fifteen (15) days after notice thereof.,Yes,MPLXLP_06_17_2015-EX-10.1-TRANSPORTATION SERVICES AGREEMENT.docx,Ohio,Null
276,"NETGEAR,INC_04_21_2003-EX-10.16- AMENDMENT #2 TO THE DISTRIBUTION AGREEMENT.docx",Amendment,"['NETGEAR, Inc.', 'Ingram Micro']","NETGEAR, Inc.",Ingram Micro,"October 1,1996","March 1,1996",,,,,,Yes,"NETGEAR,INC_04_21_2003-EX-10.16- AMENDMENT #2 TO THE DISTRIBUTION AGREEMENT.docx",Null,Null
277,"NETGEAR,INC_04_21_2003-EX-10.16-AMENDMENT TO THE DISTRIBUTOR AGREEMENT BETWEEN INGRAM MICRO AND NETGEAR-.docx",DISTRIBUTOR AGREEMENT,"['NETGEAR, Inc.', 'Ingram Micro']","NETGEAR, Inc.",Ingram Micro,"March 1,1996","March 1,1996",,,Yes,,The contract can be terminated if either party fails to fulfill their obligations or upon mutual agreement.,Yes,"NETGEAR,INC_04_21_2003-EX-10.16-AMENDMENT TO THE DISTRIBUTOR AGREEMENT BETWEEN INGRAM MICRO AND NETGEAR-.docx",California,Null
278,"MetLife, Inc. - Remarketing Agreement.docx",Remarketing Agreement,"['MetLife, Inc.', 'Deutsche Bank Securities Inc.', 'Deutsche Bank Trust Company Americas']","MetLife, Inc.",Deutsche Bank Securities Inc.,"August 26, 2014","October 8, 2014",,five (5) Business Days,,$3 billion,"This Remarketing Agreement shall terminate ( i) in the event of a Remarketing that is not a Successful Remarketing or ( ii) as to any Remarketing Agent who resigns or is removed, on the effective date of the resignation or removal of such Remarketing Agent pursuant to Section 7.",Yes,"MetLife, Inc. - Remarketing Agreement.docx",Delaware,New York
279,NETZEEINC_11_14_2002-EX-10.3-MAINTENANCE AGREEMENT.docx,MAINTENANCE AGREEMENT,"['Netzee, Inc.', 'The Bankers Bank']","Netzee, Inc.",The Bankers Bank,,"MARCH 1, 2001",,sixty (60) days,,$40 per month,"Bankers Bank may, at its option, renew maintenance for subsequent periods of one (1) year each, subject to adjustments proposed by Netzee not to exceed 5% at least sixty (60) days in advance of the applicable renewal date.",,NETZEEINC_11_14_2002-EX-10.3-MAINTENANCE AGREEMENT.docx,Null,Georgia
280,"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT.docx",Promotion Agreement,"['MiddleBrook Pharmaceuticals, Inc. (MBRK)', 'DoctorDirectory.com, Inc. (DD)']",MBRK,DD,"February 3, 2010","February 3, 2010",,60 days,Yes,"$50,000",The agreement may be terminated by either party with 30 days written notice if the other party breaches the agreement and fails to cure the breach within that time.,Yes,"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT.docx",Delaware,Carolina
281,MTITECHNOLOGYCORP_11_16_2004-EX-10.102-Reseller Agreement Premier Addendum.docx,RESELLER AGREEMENT,"['McDATA CORPORATION', 'MTI TECHNOLOGY CORPORATION']",McDATA,RESELLER,"Sept 29, 2004","Sept 29, 2004",,sixty (60) days,Yes,"$500,000",Either party may terminate this Agreement without cause upon sixty (60) days prior written notice to the other party.,Yes,MTITECHNOLOGYCORP_11_16_2004-EX-10.102-Reseller Agreement Premier Addendum.docx,CO,CA
282,NeuroboPharmaceuticalsInc_20190903_S-4_EX-10.36_11802165_EX-10.36_Manufacturing Agreement_ Supply Agreement.docx,MANUFACTURING AND SUPPLY AGREEMENT,"['DONG-A ST CO., LTD.', 'NEUROBO PHARMACEUTICALS, INC.']","DONG-A ST CO., LTD.","NEUROBO PHARMACEUTICALS, INC.","September 28, 2018","September 28, 2018",,[***] days,Yes,,"A Party may terminate this Agreement by notice to the other Party if the other Party is in material breach of any provision of this Agreement, and the breaching Party has not cured the breach within [***] days after receiving notice from the terminating Party",Yes,NeuroboPharmaceuticalsInc_20190903_S-4_EX-10.36_11802165_EX-10.36_Manufacturing Agreement_ Supply Agreement.docx,Korea,USA
283,MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT.docx,COLLABORATION AGREEMENT,"['MacroGenics', 'Green Cross']",MacroGenics,Green Cross,"June , 2010",Effective Date,Royalty Term,***,Yes,"One Million Dollars ($1,000,000)","This Agreement may be terminated at any time during the Term upon written notice by either Party if the other Party is in material breach of its other obligations under this Agreement and, in each case, has not cured such breach within *** after notice requesting cure of the breach (other than for non-payment which shall be cured within ***).",Yes,MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT.docx,MD,Korea
284,NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement.docx,TRADEMARK LICENSE AGREEMENT,"['New Mountain Capital, L.L.C.', 'NMF Senior Loan Fund I, Inc.']","New Mountain Capital, L.L.C.","NMF Senior Loan Fund I, Inc.","[ ·], 2019","[ ·], 2019",perpetually,sixty (60) days,Yes,royalty-free,"The agreement can be terminated by the Licensor if the Licensee receives notice of any Third Party Claim arising out of the Licensee’s use of the Licensed Mark, by the Licensee if it assigns or attempts to assign or sublicense this Agreement without the prior written consent of the Licensor, or by either party with sixty (60) days’ written notice.",Yes,NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement.docx,Delaware,Maryland
285,JOINTCORP_09_19_2014-EX-10.15-FRANCHISE AGREEMENT.docx,FRANCHISE AGREEMENT,"['The Joint Corp., a Delaware corporation', '_________________________________________, as Franchise Owner']",The Joint Corp.,Franchise Owner,"_____ day of ________________, 20__",,_______________________________________,one (1) year,Yes,"Twenty-Nine Thousand and No/100 Dollars ($29,000.00)","The franchisor has the right to terminate the agreement if the franchisee fails to comply with the terms and conditions of the agreement, including but not limited to, failure to pay fees, failure to meet operational standards, or failure to comply with applicable laws and regulations.",Yes,JOINTCORP_09_19_2014-EX-10.15-FRANCHISE AGREEMENT.docx,Delaware,Null
286,N2KINC_10_16_1997-EX-10.16-SPONSORSHIP AGREEMENT.docx,SPONSORSHIP AGREEMENT,"['Excite, Inc.', 'N2K Inc.']",Excite,Sponsor,"September 23rd, 1997","September 23rd, 1997",second (2nd) anniversary of the Commencement Date,[****],Yes,[****] per year,Either party may terminate this Agreement if the other party materially breaches its obligations hereunder and such breach remains uncured for thirty (30) days following the notice to the breaching party of the breach,Yes,N2KINC_10_16_1997-EX-10.16-SPONSORSHIP AGREEMENT.docx,California,Pennsylvania
287,MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT.docx,Agreement,"['SUMITOMO MITSUI BANKING CORPORATION', 'SMBC NIKKO SECURITIES INC.', 'MOELIS & COMPANY HOLDINGS LP', 'MOELIS & COMPANY HOLDINGS GP LLC']",SUMITOMO MITSUI BANKING CORPORATION,MOELIS & COMPANY HOLDINGS LP,"December 27, 2011","January 1, 2012",,six (6) months,Yes,,"The agreement may be terminated by any party on six (6) months prior notice, immediately upon mutual agreement of each of the parties, immediately by a non-breaching party if either SMBC or Nikko, on the one hand, or Moelis Holdings, on the other hand, shall materially breach the terms and conditions of this Agreement, immediately upon the bankruptcy, insolvency, or making of the assignment for the benefit of creditors by a party, by any party if the SMBC Unit-Holders cease to hold any Partnership Interests as a result of sale or transfer pursuant to Section 12.4 of this Agreement or Section 8.4 of the Moelis Holdings Agreement, or immediately by Moelis Holdings if the Closing has not occurred by March 1, 2012 or such later date if the Closing is delayed pursuant to the terms of the Subscription Agreement.",Yes,MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT.docx,Japan,United States
288,"NOVOINTEGRATEDSCIENCES,INC_12_23_2019-EX-10.1-JOINT VENTURE AGREEMENT.docx",JOINT VENTURE AGREEMENT,"['NOVO INTEGRATED SCIENCES INC.', 'HARVEST GOLD FARMS INC.']",NOVO INTEGRATED SCIENCES INC.,HARVEST GOLD FARMS INC.,"December 19, 2019","December 19, 2019",,two (2) years,Yes,twenty-five million dollars ($25M),"The initial term of this Agreement shall, unless sooner terminated by consent of all parties, expires in five (5) years from the date of Effective Date.",Yes,"NOVOINTEGRATEDSCIENCES,INC_12_23_2019-EX-10.1-JOINT VENTURE AGREEMENT.docx",Nevada,Canada
289,NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT.docx,SERVICE AGREEMENT,"['FIDELITY INVESTMENTS INSTITUTIONAL OPERATIONS COMPANY, INC. (FIIOC)', 'NEW YORK LIFE INSURANCE AND ANNUITY CORPORATION (Company)']","FIDELITY INVESTMENTS INSTITUTIONAL OPERATIONS COMPANY, INC. (FIIOC)",NEW YORK LIFE INSURANCE AND ANNUITY CORPORATION (Company),"January 1, 1998","January 1, 1998",,90 days,Yes,[ ] basis points,"This Agreement may be terminated by Company at any time upon written notice to FIIOC, FIIOC may terminate this Agreement at any time upon ninety (90) days’ written notice to Company, or FIIOC may terminate this Agreement immediately upon written notice to Company (1) if required by any applicable law or regulation, (2) if so required by action of the Fund(s) Board of Trustees, or (3) if Company engages in any material breach of this Agreement.",Yes,NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT.docx,Null,NEW YORK
290,NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.docx,COLLABORATION & ENDORSEMENT AGREEMENT,"['The Naked Brands Group, Inc.', 'Wade Enterprises, LLC']",Naked,Wade Enterprises,"June 15th, 2015","June 15th, 2015",,ninety (90) days,Yes,[***],"Naked shall have the right to terminate this Agreement upon ten (10) days prior written notice to Wade in the event Wade fails to perform the Wade Services or breaches any other covenant or agreement set forth herein (including the essence of this Agreement), and fails to cure same (if curable) within seven (7) days of receipt of written notice.",Yes,NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.docx,Delaware,Alaska
291,NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.docx,DISTRIBUTOR AGREEMENT,"['JOHNSON MATTHEY CATALOG COMPANY, INC.', 'Nanophase Technologies Corporation']","JOHNSON MATTHEY CATALOG COMPANY, INC.",Nanophase Technologies Corporation,"October 24, 2005",,,6 months,Yes,,"The contract can be terminated in the event of material breach, insolvency or bankruptcy of a party, or by either party for any reason by providing six (6) months prior written notice.",Yes,NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.docx,MA,IL
292,NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT.docx,SPONSORSHIP AGREEMENT,"['National Processing Company (NPC)', 'National City Bank of Kentucky (NCB)']",National Processing Company (NPC),National City Bank of Kentucky (NCB),"June 30, 1996","June 30, 1996",,six months,Yes,,"Either party may terminate this Agreement without penalty and without prejudice to any claims arising prior to termination as follows: Upon the written agreement of both parties, Upon the other party's breach of this Agreement, By NCB immediately upon NPC's voluntary filing of any petition or complaint seeking relief under any federal or state bankruptcy or other debt relief statute, By NPC immediately in the event that any agreements between NCB and Visa and/or MasterCard or NCB's membership in either such bankcard association shall be terminated or materially limited which termination or material limitation would impair the ability of NPC to authorize, process or settle merchant bankcard transactions.",Yes,NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT.docx,Kentucky,Null
293,OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT2.docx,AGENTS’ CERTIFICATE,"Tribute Pharmaceuticals Inc., [ ], [ ]",Tribute Pharmaceuticals Inc.,"[ ], [ ]","May 22, 2015",,,,,,The contract does not specify conditions for termination.,,OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT2.docx,Null,Null
294,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.docx,Amendment,"['Peregrine/Bridge Transfer Corporation', 'NEON Systems, Inc.']",Peregrine/Bridge Transfer Corporation,"NEON Systems, Inc.","January 1, 1999","January 1, 1999","March 31, 2004",sixty (60) days,,"$1,000,000","The contract can be terminated upon written notice if either party defaults in the performance of any obligation under this Agreement, including failure to promptly pay any amount due hereunder, and fails to cure such default within thirty (30) days after delivery of written notice specifying the default.",Yes,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.docx,Delaware,Delaware
